Source URL,Target URL,Status,Preserve query string,Include subdomains,Subpath matching,Preserve path suffix
https://tagspecialist.ca/blog/1765093346063,https://tagspecialist.ca/blog/mastering-server-side-ga4-cloud-run-bigquery-gtm,301,false,true,false,false
https://tagspecialist.ca/blog/1765093378393,https://tagspecialist.ca/blog/troubleshooting-monitoring-server-side-ga4-cloud-run,301,false,true,false,false
https://tagspecialist.ca/blog/1765094474285,https://tagspecialist.ca/blog/enforcing-data-quality-privacy-server-side-transformations-gtm-cloud-run-ga4,301,false,true,false,false
https://tagspecialist.ca/blog/1765141942247,https://tagspecialist.ca/blog/activating-server-side-ga4-data-insights-audiences,301,false,true,false,false
https://tagspecialist.ca/blog/1765180873656,https://tagspecialist.ca/blog/granular-consent-enforcement-server-side-ga4-cloud-run-cmp,301,false,true,false,false
https://tagspecialist.ca/blog/1765216106450,https://tagspecialist.ca/blog/real-time-feature-flags-firestore-server-side-ga4-cloud-run,301,false,true,false,false
https://tagspecialist.ca/blog/1765238307549,https://tagspecialist.ca/blog/server-side-first-party-cookie-management-cross-domain-ga4-gtm-cloud-run,301,false,true,false,false
https://tagspecialist.ca/blog/1765267279902,https://tagspecialist.ca/blog/orchestrating-multi-platform-server-side-tracking-ga4-facebook-capi-google-ads-cloud-run,301,false,true,false,false
https://tagspecialist.ca/blog/1765340342208,https://tagspecialist.ca/blog/mastering-item-level-data-server-side-ga4-gtm-cloud-run-items-array,301,false,true,false,false
https://tagspecialist.ca/blog/1765353677116,https://tagspecialist.ca/blog/server-side-event-data-lake-gtm-sc-bigquery-cloud-run,301,false,true,false,false
https://tagspecialist.ca/blog/1765440075875,https://tagspecialist.ca/blog/real-time-product-enrichment-ga4-items-firestore-cloud-run,301,false,true,false,false
https://tagspecialist.ca/blog/1765526549980,https://tagspecialist.ca/blog/decoupling-server-side-ga4-async-pubsub-cloud-run,301,false,true,false,false
https://tagspecialist.ca/blog/1765612876691,https://tagspecialist.ca/blog/advanced-pii-detection-redaction-server-side-ga4-gtm-cloud-run-dlp,301,false,true,false,false
https://tagspecialist.ca/blog/1765699274581,https://tagspecialist.ca/blog/automate-server-side-ga4-cicd-gtm-cloud-run,301,false,true,false,false
https://tagspecialist.ca/blog/1765785716140,https://tagspecialist.ca/blog/dynamic-config-management-server-side-ga4-environments,301,false,true,false,false
https://tagspecialist.ca/blog/1765872076332,https://tagspecialist.ca/blog/cost-performance-optimization-server-side-ga4-cloud-run,301,false,true,false,false
https://tagspecialist.ca/blog/1765958501296,https://tagspecialist.ca/blog/server-side-ab-testing-ga4-gtm-cloud-run-firestore,301,false,true,false,false
https://tagspecialist.ca/blog/1766044939391,https://tagspecialist.ca/blog/capturing-referrer-user-agent-server-side-ga4-gtm-cloud-run,301,false,true,false,false
